,PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,"FT
FREQ%","TOV
FREQ%","SF
FREQ%","AND ONE
FREQ%","SCORE
FREQ%",PERCENTILE
2020-21,Hamidou Diallo,OKC,32,3.2,24.9,1.11,3.5,1.4,2.2,62.9,62.9,22.8,12.9,22.8,5,56.4,45.9
2020-21,R.J. Hampton,ORL,26,2.8,22.8,1.2,3.4,1.4,2.2,63.8,66.4,13.5,9.5,13.5,2.7,58.1,68.3
2020-21,James Harden,HOU,8,4.8,19.6,1.03,4.9,1.4,3.1,44,54,15.8,21.1,15.8,2.6,42.1,31.8
2020-21,Thomas Bryant,WAS,10,2.2,20.2,1.68,3.7,1.4,1.7,82.4,91.2,22.7,13.6,22.7,13.6,72.7,99.4
2020-21,Victor Oladipo,IND,9,3.1,15.3,1.29,4,1.4,2.2,65,75,17.9,14.3,7.1,3.6,60.7,82.2
2020-21,Khyri Thomas,HOU,5,2.8,18.4,1.5,4.2,1.4,2.2,63.6,77.3,14.3,7.1,14.3,0,64.3,96.2
2020-21,Buddy Hield,SAC,71,3.1,18.9,1.23,3.8,1.3,2.6,49.7,67.4,3.2,11,2.3,0,45.9,74
2020-21,Anthony Edwards,MIN,72,3.3,16.3,1.07,3.6,1.3,2.6,52.2,55.9,14.9,10.4,12.9,2.5,51.9,37.8
2020-21,Jimmy Butler,MIA,52,3.2,16.1,1.3,4.1,1.3,2.1,61.7,63.1,31.1,9.8,28,6.1,65.2,83.3
2020-21,Kelly Oubre Jr.,GSW,55,3,18.7,1.14,3.4,1.3,2.3,53.9,60.5,15.3,8.6,14.7,2.5,54,54.3
2020-21,Edmond Sumner,IND,53,2.7,38.2,1.31,3.5,1.3,2.1,63.1,69.4,14.9,9.2,14.9,2.8,61.7,85.2
2020-21,Tyrese Maxey,PHI,22,4,17.5,1.36,5.5,1.8,3.3,54.2,61.1,22.7,2.3,21.6,6.8,60.2,86.5
